Phrase,Sentiment
on a date,2
roll movie,2
"digs into dysfunction like it 's a big , comforting jar of Marmite , to be slathered on crackers and served as a feast of bleakness",2
howler,3
` terrorists,1
vibrant introduction,3
bogged down over 140 minutes,1
So vivid a portrait,3
A sugar-coated Rocky whose valuable messages are forgotten 10 minutes after the last trombone,1
by-the-book scripting,2
Rusi Vulakoro,3
"the one thing that holds interest in the midst of a mushy , existential exploration of why men leave their families",1
"nurtures the multi-layers of its characters ,",4
from any other,2
cluelessness,1
people who are enthusiastic about something and then,3
Eddie Murphy and Robert DeNiro in Showtime,2
"boredom to the point of collapse , turning into a black hole of dullness",0
represent totally exemplify middle-of-the-road mainstream,3
stands as one of the great films about movie love .,4
ca n't escape its past,2
by Paul Pender,2
"A thoroughly awful movie -- dumb , narratively chaotic , visually sloppy ... a weird amalgam of ` The Thing ' and a geriatric ` Scream . '",0
-- in the title role --,3
comically,3
limited and,2
sordid and,1
the rest is just an overexposed waste of film,0
weird amalgam,1
the Kahlo movie Frida fans,2
"knows the mistakes that bad movies make and is determined not to make them , and maybe that is nobility of a sort",3
have a good time with this one too,3
"at the very least , His Secret Life will leave you thinking",2
its poignancy,2
A dopey movie,1
"its dark , delicate treatment of these characters",3
pushiness and decibel volume,1
doze off,1
spoil things,1
a skillful fisher,3
has merit and,3
`` wait a second,2
prolonged and,2
be emphasized enough,2
the skies,2
"It 's a fine , old-fashioned-movie movie , which is to say it 's unburdened by pretensions to great artistic significance .",3
It 's too bad that the rest is n't more compelling .,2
"is an unschooled comedy like Stealing Harvard , which fails to keep 80 minutes from seeming like 800",1
his approach,2
a sobering recount,2
"is remarkably fuddled about motives and context , which drains it of the dramatic substance that would shake us in our boots -LRB- or cinema seats -RRB- .",1
than you can say for plenty of movies that flow through the Hollywood pipeline without a hitch,2
", it would gobble in Dolby Digital stereo .",1
exploration of the creative act,2
"The Sweetest Thing ,",3
aristocracy that can no longer pay its bills,2
that involves us in the unfolding crisis,2
`` Simone '' is a fun and funky look into an artificial creation in a world that thrives on artificiality .,4
new life,2
"advised to take the warning literally , and log on to something more user-friendly",1
the complicated love triangle,2
will be baffled,2
become expert fighters,3
of intense scrutiny for 104 minutes,1
be swept up in Invincible,4
adds enough quirky and satirical touches,3
", the picture feels as if everyone making it lost their movie mojo .",0
We get light showers of emotion a couple of times,2
the Vertical Limit of surfing movies -,3
"cheapo animation -LRB- like Saturday morning TV in the '60s -RRB- ,",1
Circuit is the awkwardly paced soap opera-ish story .,0
the bad things,1
that wore out its welcome with audiences several years ago,1
", but if you liked the previous movies in the series , you 'll have a good time with this one too",2
by Howard 's self-conscious attempts,2
detective story,3
last summer 's,2
falling into the Hollywood trap,1
been-there,2
A breezy blend,3
of the various households,2
"Leading a double life in an American film only comes to no good ,",2
is n't that funny,1
"Imagine Kevin Smith , the blasphemous bad boy of suburban Jersey , if he were stripped of most of his budget and all of his sense of humor",0
Galan -LRB- a first-time actor -RRB-,2
fit smoothly,3
"typically observant , carefully nuanced and intimate French",2
the act,2
"can not help but love Cinema Paradiso , whether the original version or new Director 's Cut .",3
sounds like horrible poetry,1
"an unblinking , flawed humanity",2
funny in the middle of sad in the middle of hopeful,3
"mothers , daughters and their relationships",2
It has the right approach and the right opening premise,3
loquacious videologue,2
the integrity and vision,3
"This is n't exactly profound cinema , but it 's good-natured and sometimes quite funny",3
set in the world of lingerie models and bar dancers,3
hectic,2
tiresome,1
TV series,2
", touching",3
're ` they ',2
A frustrating ` tweener ' --,0
bet,2
to make the stones weep -- as shameful as it,1
achieves the feel of a fanciful motion picture,3
"is rote work and predictable ,",1
of its own ironic implications,2
gorgeously strange movie,4
"reacting to it - feeling a part of its grand locations ,",3
so crisp and,3
A low-rent retread of the Alien pictures .,1
at a speed that is slow to those of us in middle age,1
this ambitious comic escapade,4
for what they do n't have,2
"by England 's Roger Mitchell , who handily makes the move from pleasing",3
struggled,1
prevent itself from succumbing to its own bathos,2
dubious distinction,2
the sense of fierce competition,3
business plans,3
